Title,Year,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
Control,2017,tt1727497,127,xF99vVf8yv0,6.3,https://hydramovies.com/wp-content/uploads/2018/04/Control-Movie-Poster.jpg,Jan Verheyen,Jef Geeraerts,Greg Timmermans|Koen De Bouw|Werner De Smedt
Dear Etranger,2017,tt5797164,0,F-FPd35FqAY,7,https://hydramovies.com/wp-content/uploads/2018/04/Dear-Etranger-Movie-Poster.jpg,Yukiko Mishima,Kiyoshi Shigematsu,Miu Arai|Rena Tanaka|Tadanobu Asano
Before We Vanish,2017,tt5999530,129,fjlXE-u-3rc,6,https://hydramovies.com/wp-content/uploads/2018/04/Before-We-Vanish-Movie-Poster.jpg,Kiyoshi Kurosawa,Tomohiro Maekawa,Masami Nagasawa|Ryûhei Matsuda
Grace Jones: Bloodlight and Bami,2017,tt6903636,115,HScUsiZLoCg,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Grace-Jones-Bloodlight-and-Bami-Movie-Poster.jpg,Sophie Fiennes,Grace Jones,Sly &amp; Robbie
All the Money in the World,2017,tt5294550,132,KXHrCBkIxQQ,6.9,https://hydramovies.com/wp-content/uploads/2018/04/All-the-Money-in-the-World-Movie-Poster.jpg,Ridley Scott,David Scarpa,Christopher Plummer|Mark Wahlberg|Michelle Williams
Chasing the Dragon,2017,tt6015328,128,Adj5dtSKF8U,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Chasing-the-Dragon-Movie-Poster.jpg,Jason Kwan,Jing Wong,Andy Lau|Donnie Yen
I Kill Giants,2017,tt4547194,106,ZBfLY-YL-5w,6.5,https://hydramovies.com/wp-content/uploads/2018/04/I-Kill-Giants-Movie-Poster.jpg,Anders Walter,Joe Kelly,Madison Wolfe|Zoe Saldana
Roxanne Roxanne,2017,tt5796838,100,IKA8H_LolNM,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Roxanne-Roxanne-Movie-Poster.jpg,Michael Larnell,Michael Larnell,Chanté Adams|Mahershala Ali|Nia Long
Film Stars Don't Die in Liverpool,2017,tt5711148,105,aCwt4kYWOHA,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Film-Stars-Dont-Die-in-Liverpool-Movie-Poster.jpg,Paul McGuigan,Matt Greenhalgh,Annette Bening|Jamie Bell|Kenneth Cranham
Every Secret Thing,2014,tt1706598,93,6QT0zKjvRfE,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Every-Secret-Thing-Movie-Poster.jpg,Amy Berg,Nicole Holofcener,Dakota Fanning|Diane Lane|Elizabeth Banks
Believe in Me,2006,tt0419491,0,IHatBd-2lLI,7.1,https://hydramovies.com/wp-content/uploads/2018/04/Believe-in-Me-Movie-Poster.jpg,Robert Collector,Robert Collector,Bruce Dern|Jeffrey Donovan|Samantha Mathis
Still the Water,2014,tt3230162,121,npg8_sHQmbc,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Still-the-Water-Movie-Poster.jpg,Naomi Kawase,Naomi Kawase,Junko Abe|Miyuki Matsuda|Nijirô Murakami
Redemption Trail,2013,tt2009432,92,vM8_fHXeTVk,6.7,https://hydramovies.com/wp-content/uploads/2018/04/Redemption-Trail-Movie-Poster.jpg,Britta Sjogren,Britta Sjogren,Jake Weber|Lily Rabe|LisaGay Hamilton
Black Marigolds,2013,tt2141623,84,gLzRi0wbneI,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Black-Marigolds-Movie-Poster.jpg,Lance Malbon,Lance Malbon,Noah Bean|Paul Ben-Victor|Rachel Boston
The Greatest Showman,2017,tt1485796,105,AXCTMGYUg9A,7.8,https://hydramovies.com/wp-content/uploads/2018/04/The-Greatest-Showman-Movie-Poster.jpg,Michael Gracey,Jenny Bicks,Hugh Jackman|Michelle Williams
Of Mind and Music,2014,tt3057572,98,LtEQowDXUmU,7,https://hydramovies.com/wp-content/uploads/2018/04/Of-Mind-and-Music-Movie-Poster.jpg,Richie Adams,Richie Adams,Aunjanue Ellis|Bill Cobbs|Joaquim de Almeida
Demon House,2018,tt4130484,111,zGbZheZYpLM,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Demon-House-Movie-Poster.jpg,Zak Bagans,Zak Bagans,Adam Ahlbrandt|Matthew Mourgides|Zak Bagans
Along for the Ride,2016,tt3986978,90,oGXol1CI26k,7,https://hydramovies.com/wp-content/uploads/2018/04/Along-for-the-Ride-Movie-Poster.jpg,Nick Ebeling,Satya De La Manitou,Damon Albarn|Julie Adams
Centre of My World,2016,tt4932154,115,u-PTAF5wgS0,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Centre-of-My-World-Movie-Poster.jpg,Jakob M. Erwa,Jakob M. Erwa,Bendix Hansen|Louis Hofmann|Sarah Fuhrer
Wonderstruck,2017,tt5208216,116,n207k52C3DM,6.3,https://hydramovies.com/wp-content/uploads/2018/04/Wonderstruck-Movie-Poster.jpg,Todd Haynes,Brian Selznick,Julianne Moore|Michelle Williams|Oakes Fegley
The Witness,2015,tt3568002,89,EAGOoF5CDXA,7.1,https://hydramovies.com/wp-content/uploads/2018/04/The-Witness-Movie-Poster.jpg,James D. Solomon,William Genovese,Shannon Beeby|William Genovese
Harold and Lillian: A Hollywood Love Story,2015,tt4683668,94,sfc3aAQ_UTI,8,https://hydramovies.com/wp-content/uploads/2018/04/Harold-and-Lillian-A-Hollywood-Love-Story-Movie-Poster.jpg,Daniel Raim,Daniel Raim,Bill Krohn|Harold Michelson|Lillian Michelson
Ferrari 312B: Where the Revolution Begins,2017,tt7017474,85,p-5wUn2X-rc,7,https://hydramovies.com/wp-content/uploads/2018/04/Ferrari-312B-Where-the-Revolution-Begins-Movie-Poster.jpg,Andrea Marini,Paolo Barilla,Bob Constanduros
The Monkey King 2,2016,tt4591310,119,ygTmV3K57_8,6,https://hydramovies.com/wp-content/uploads/2018/04/The-Monkey-King-2-Movie-Poster.jpg,Soi Cheang,Ping Ran,Aaron Kwok|Li Gong
Fairy Tail: The Movie - Dragon Cry,2017,tt6548966,85,0bIkW607yJA,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Fairy-Tail-The-Movie-Dragon-Cry-Movie-Poster.jpg,Tatsuma Minamikawa,Hiro Mashima,Makoto Furukawa|Wataru Hatano
24 City,2008,tt1103963,112,34-aVx6Qa_8,7.1,https://hydramovies.com/wp-content/uploads/2018/04/24-City-Movie-Poster.jpg,Zhangke Jia,Zhangke Jia,Jianbin Chen|Joan Chen|Liping Lü
To Rome with Love,2012,tt1859650,112,ft__aQSrHqE,6.3,https://hydramovies.com/wp-content/uploads/2018/04/To-Rome-with-Love-Movie-Poster.jpg,Woody Allen,Woody Allen,Jesse Eisenberg|Penélope Cruz|Woody Allen
Journey to the West,2014,tt3521442,56,FOxhoVx6a8o,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Journey-to-the-West-Movie-Poster.jpg,Ming-liang Tsai,Cheng'en Wu,Denis Lavant|Kang-sheng Lee
Iron Men,2017,tt6440810,75,,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Iron-Men-Movie-Poster.jpg,Paul Crompton,Mabel Arnold,Mark Gevaux
Fassbinder,2015,tt4536540,95,,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Fassbinder-Movie-Poster.jpg,Annekatrin Hendel,Annekatrin Hendel,Irm Hermann|Juliane Lorenz|Margit Carstensen
Black Bread,2010,tt1454523,108,mn_gJ5Aly6c,7,https://hydramovies.com/wp-content/uploads/2018/04/Black-Bread-Movie-Poster.jpg,Agustí Villaronga,Emili Teixidor,Francesc Colomer|Jhon Mejía|Marina Comas
Won't Back Down,2012,tt1870529,0,busgdBQE9M0,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Wont-Back-Down-Movie-Poster.jpg,Daniel Barnz,Brin Hill,Holly Hunter|Maggie Gyllenhaal|Viola Davis
Still Walking,2008,tt1087578,115,Id7tXouypEE,8,https://hydramovies.com/wp-content/uploads/2018/04/Still-Walking-Movie-Poster.jpg,Hirokazu Koreeda,Hirokazu Koreeda,Hiroshi Abe|You|Yui Natsukawa
Annihilation,2018,tt2798920,115,89OP78l9oF0,7,https://hydramovies.com/wp-content/uploads/2018/04/Annihilation-Movie-Poster.jpg,Alex Garland,Alex Garland,Jennifer Jason Leigh|Natalie Portman|Tessa Thompson
Takeshis',2005,tt0478044,108,esRWmVRGk9M,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Takeshis-Movie-Poster.jpg,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto|Kotomi Kyôno|Takeshi Kitano
The Nile Hilton Incident,2017,tt5540188,111,G1njw7sUFoQ,6.9,https://hydramovies.com/wp-content/uploads/2018/04/The-Nile-Hilton-Incident-Movie-Poster.jpg,Tarik Saleh,Tarik Saleh,Fares Fares|Mari Malek|Yasser Ali Maher
Star Wars: The Last Jedi,2017,tt2527336,152,Q0CbN8sfihY,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Star-Wars-The-Last-Jedi-Movie-Poster.jpg,Rian Johnson,Rian Johnson,Daisy Ridley|John Boyega|Mark Hamill
The Woman Who Left,2016,tt5843990,226,MOopZgQuYz0,7.6,https://hydramovies.com/wp-content/uploads/2018/04/The-Woman-Who-Left-Movie-Poster.jpg,Lav Diaz,Lav Diaz,Charo Santos-Concio|John Lloyd Cruz|Michael De Mesa
